"","p","n","optRho","variable","FPR","MCE","TPR","Estimated_E","method"
"150",20,10000,0.0115,"V54",0.25,0.231578947368421,1,"E_3","loglikhood"
"151",50,100,0.2054,"V5",0.0513976555455365,0.125714285714286,0.163793103448276,"E_3","loglikhood"
"152",50,100,0.2054,"V6",0.0490018148820327,0.128163265306122,0.16260162601626,"E_3","loglikhood"
"153",50,100,0.2054,"V7",0.0534420289855072,0.136326530612245,0.107438016528926,"E_3","loglikhood"
"154",50,100,0.2054,"V8",0.0573012939001848,0.153469387755102,0.118881118881119,"E_3","loglikhood"
"155",50,100,0.2054,"V9",0.0404411764705882,0.136326530612245,0.102189781021898,"E_3","loglikhood"
"156",50,100,0.2054,"V10",0.0434782608695652,0.124897959183673,0.132231404958678,"E_3","loglikhood"
"157",50,100,0.2054,"V11",0.0505050505050505,0.144489795918367,0.102941176470588,"E_3","loglikhood"
"158",50,100,0.2054,"V12",0.045863309352518,0.115102040816327,0.20353982300885,"E_3","loglikhood"
"159",50,100,0.2054,"V13",0.0546448087431694,0.143673469387755,0.0866141732283465,"E_3","loglikhood"
"160",50,100,0.2054,"V14",0.0306859205776173,0.111020408163265,0.128205128205128,"E_3","loglikhood"
"161",50,100,0.2054,"V15",0.0413602941176471,0.133061224489796,0.138686131386861,"E_3","loglikhood"
"162",50,100,0.2054,"V16",0.0587155963302752,0.151836734693878,0.0962962962962963,"E_3","loglikhood"
"163",50,100,0.2054,"V17",0.0278035217794254,0.128979591836735,0.123287671232877,"E_3","loglikhood"
"164",50,100,0.2054,"V18",0.0643382352941176,0.156734693877551,0.109489051094891,"E_3","loglikhood"
"165",50,100,0.2054,"V19",0.0570135746606335,0.131428571428571,0.183333333333333,"E_3","loglikhood"
"166",50,100,0.2054,"V20",0.0470162748643761,0.124897959183673,0.151260504201681,"E_3","loglikhood"
"167",50,100,0.2054,"V21",0.0463215258855586,0.12734693877551,0.153225806451613,"E_3","loglikhood"
"168",50,100,0.2054,"V22",0.0508166969147005,0.133877551020408,0.121951219512195,"E_3","loglikhood"
"169",50,100,0.2054,"V23",0.0547945205479452,0.144489795918367,0.1,"E_3","loglikhood"
"170",50,100,0.2054,"V24",0.0522522522522523,0.131428571428571,0.104347826086957,"E_3","loglikhood"
"171",50,100,0.2054,"V25",0.0459136822773186,0.13469387755102,0.154411764705882,"E_3","loglikhood"
"172",50,100,0.2054,"V26",0.0533453887884268,0.128163265306122,0.176470588235294,"E_3","loglikhood"
"173",50,100,0.2054,"V27",0.040256175663312,0.124897959183673,0.174242424242424,"E_3","loglikhood"
"174",50,100,0.2054,"V28",0.0535390199637024,0.132244897959184,0.16260162601626,"E_3","loglikhood"
"175",50,100,0.2054,"V29",0.0450856627592426,0.122448979591837,0.137931034482759,"E_3","loglikhood"
"176",50,100,0.2054,"V30",0.0421903052064632,0.118367346938776,0.117117117117117,"E_3","loglikhood"
"177",50,100,0.2054,"V31",0.0355515041020966,0.125714285714286,0.1015625,"E_3","loglikhood"
"178",50,100,0.2054,"V32",0.0479204339963834,0.133061224489796,0.0756302521008403,"E_3","loglikhood"
"179",50,100,0.2054,"V33",0.0462534690101758,0.143673469387755,0.125,"E_3","loglikhood"
"180",50,100,0.2054,"V34",0.040650406504065,0.12,0.135593220338983,"E_3","loglikhood"
"181",50,100,0.2054,"V35",0.0490909090909091,0.133877551020408,0.12,"E_3","loglikhood"
"182",50,100,0.2054,"V36",0.0533088235294118,0.144489795918367,0.131386861313869,"E_3","loglikhood"
"183",50,100,0.2054,"V37",0.0419325432999088,0.125714285714286,0.15625,"E_3","loglikhood"
"184",50,100,0.2054,"V38",0.0402864816472695,0.116734693877551,0.0925925925925926,"E_3","loglikhood"
"185",50,100,0.2054,"V39",0.059245960502693,0.130612244897959,0.153153153153153,"E_3","loglikhood"
"186",50,100,0.2054,"V40",0.041329739442947,0.121632653061224,0.0803571428571429,"E_3","loglikhood"
"187",50,100,0.2054,"V41",0.055045871559633,0.14530612244898,0.125925925925926,"E_3","loglikhood"
"188",50,100,0.2054,"V42",0.0530164533820841,0.136326530612245,0.16793893129771,"E_3","loglikhood"
"189",50,100,0.2054,"V43",0.036068530207394,0.116734693877551,0.112068965517241,"E_3","loglikhood"
"190",50,100,0.2054,"V44",0.0315031503150315,0.111020408163265,0.114035087719298,"E_3","loglikhood"
"191",50,100,0.2054,"V45",0.0553539019963702,0.137142857142857,0.130081300813008,"E_3","loglikhood"
"192",50,100,0.2054,"V46",0.037567084078712,0.111836734693878,0.11214953271028,"E_3","loglikhood"
"193",50,100,0.2054,"V47",0.0370705244122966,0.118367346938776,0.126050420168067,"E_3","loglikhood"
"194",50,100,0.2054,"V48",0.060414788097385,0.137959183673469,0.120689655172414,"E_3","loglikhood"
"195",50,100,0.2054,"V49",0.0611872146118721,0.14530612244898,0.146153846153846,"E_3","loglikhood"
"196",50,100,0.2054,"V50",0.0463636363636364,0.12734693877551,0.16,"E_3","loglikhood"
"197",50,100,0.2054,"V51",0.0427272727272727,0.128979591836735,0.112,"E_3","loglikhood"
"198",50,100,0.2054,"V52",0.0751131221719457,0.146938775510204,0.191666666666667,"E_3","loglikhood"
"199",50,100,0.2054,"V53",0.0646630236794171,0.14530612244898,0.15748031496063,"E_3","loglikhood"
"200",50,100,0.2054,"V54",0.0363967242948135,0.122448979591837,0.126984126984127,"E_3","loglikhood"
"201",50,1000,0.0465,"V5",0.153297682709447,0.15265306122449,0.854368932038835,"E_3","loglikhood"
"202",50,1000,0.0465,"V6",0.156363636363636,0.148571428571429,0.92,"E_3","loglikhood"
"203",50,1000,0.0465,"V7",0.156615661566157,0.149387755102041,0.921052631578947,"E_3","loglikhood"
"204",50,1000,0.0465,"V8",0.137111517367459,0.138775510204082,0.847328244274809,"E_3","loglikhood"
"205",50,1000,0.0465,"V9",0.174932371505861,0.170612244897959,0.870689655172414,"E_3","loglikhood"
"206",50,1000,0.0465,"V10",0.16289592760181,0.155918367346939,0.908333333333333,"E_3","loglikhood"
"207",50,1000,0.0465,"V11",0.170556552962298,0.163265306122449,0.90990990990991,"E_3","loglikhood"
"208",50,1000,0.0465,"V12",0.160471441523119,0.154285714285714,0.901639344262295,"E_3","loglikhood"
"209",50,1000,0.0465,"V13",0.154891304347826,0.146938775510204,0.925619834710744,"E_3","loglikhood"
"210",50,1000,0.0465,"V14",0.151079136690647,0.147755102040816,0.884955752212389,"E_3","loglikhood"
"211",50,1000,0.0465,"V15",0.144128113879004,0.138775510204082,0.920792079207921,"E_3","loglikhood"
"212",50,1000,0.0465,"V16",0.142345568487019,0.138775510204082,0.898148148148148,"E_3","loglikhood"
"213",50,1000,0.0465,"V17",0.166202414113278,0.158367346938776,0.898648648648649,"E_3","loglikhood"
"214",50,1000,0.0465,"V18",0.161172161172161,0.159183673469388,0.857142857142857,"E_3","loglikhood"
"215",50,1000,0.0465,"V19",0.147737765466297,0.142040816326531,0.901408450704225,"E_3","loglikhood"
"216",50,1000,0.0465,"V20",0.157990867579909,0.15265306122449,0.892307692307692,"E_3","loglikhood"
"217",50,1000,0.0465,"V21",0.162087912087912,0.151020408163265,0.93984962406015,"E_3","loglikhood"
"218",50,1000,0.0465,"V22",0.142091152815013,0.133877551020408,0.952830188679245,"E_3","loglikhood"
"219",50,1000,0.0465,"V23",0.14426523297491,0.140408163265306,0.899082568807339,"E_3","loglikhood"
"220",50,1000,0.0465,"V24",0.150410209662717,0.149387755102041,0.859375,"E_3","loglikhood"
"221",50,1000,0.0465,"V25",0.151351351351351,0.148571428571429,0.878260869565217,"E_3","loglikhood"
"222",50,1000,0.0465,"V26",0.155595996360328,0.151020408163265,0.888888888888889,"E_3","loglikhood"
"223",50,1000,0.0465,"V27",0.133815551537071,0.133061224489796,0.873949579831933,"E_3","loglikhood"
"224",50,1000,0.0465,"V28",0.164684354986276,0.16,0.878787878787879,"E_3","loglikhood"
"225",50,1000,0.0465,"V29",0.162705667276051,0.157551020408163,0.885496183206107,"E_3","loglikhood"
"226",50,1000,0.0465,"V30",0.153351698806244,0.146938775510204,0.904411764705882,"E_3","loglikhood"
"227",50,1000,0.0465,"V31",0.140495867768595,0.142857142857143,0.838235294117647,"E_3","loglikhood"
"228",50,1000,0.0465,"V32",0.155963302752294,0.151020408163265,0.888888888888889,"E_3","loglikhood"
"229",50,1000,0.0465,"V33",0.162385321100917,0.155102040816327,0.903703703703704,"E_3","loglikhood"
"230",50,1000,0.0465,"V34",0.161116111611161,0.159183673469388,0.859649122807018,"E_3","loglikhood"
"231",50,1000,0.0465,"V35",0.151205936920223,0.150204081632653,0.857142857142857,"E_3","loglikhood"
"232",50,1000,0.0465,"V36",0.146714671467147,0.144489795918367,0.87719298245614,"E_3","loglikhood"
"233",50,1000,0.0465,"V37",0.157559198542805,0.151836734693878,0.897637795275591,"E_3","loglikhood"
"234",50,1000,0.0465,"V38",0.163949275362319,0.160816326530612,0.867768595041322,"E_3","loglikhood"
"235",50,1000,0.0465,"V39",0.13963963963964,0.135510204081633,0.904347826086957,"E_3","loglikhood"
"236",50,1000,0.0465,"V40",0.181081081081081,0.177959183673469,0.852173913043478,"E_3","loglikhood"
"237",50,1000,0.0465,"V41",0.137837837837838,0.13469387755102,0.895652173913044,"E_3","loglikhood"
"238",50,1000,0.0465,"V42",0.168488160291439,0.160816326530612,0.905511811023622,"E_3","loglikhood"
"239",50,1000,0.0465,"V43",0.147138964577657,0.146938775510204,0.854838709677419,"E_3","loglikhood"
"240",50,1000,0.0465,"V44",0.171888988361683,0.168163265306122,0.87037037037037,"E_3","loglikhood"
"241",50,1000,0.0465,"V45",0.163753449862006,0.16,0.869565217391304,"E_3","loglikhood"
"242",50,1000,0.0465,"V46",0.164055299539171,0.156734693877551,0.9,"E_3","loglikhood"
