"","TPR","FPR","method","Estimated_E","p","n"
"345",0.862068965517241,0.114724480578139,"rmse","E_1",100,1000
"346",0.853061224489796,0.112107623318386,"rmse","E_1",100,1000
"347",0.844897959183673,0.1,"rmse","E_1",100,1000
"348",0.841046277665996,0.102627442173815,"rmse","E_1",100,1000
"349",0.873804971319312,0.0914840749943528,"rmse","E_1",100,1000
"350",0.875239923224568,0.116504854368932,"rmse","E_1",100,1000
"351",0.926441351888668,0.20215875871374,"cv_min","E_1",100,1000
"352",0.949685534591195,0.206349206349206,"cv_min","E_1",100,1000
"353",0.930056710775047,0.245645781497399,"cv_min","E_1",100,1000
"354",0.93359375,0.216764308246958,"cv_min","E_1",100,1000
"355",0.930056710775047,0.218050214883511,"cv_min","E_1",100,1000
"356",0.915187376725838,0.213819491334684,"cv_min","E_1",100,1000
"357",0.920408163265306,0.20695067264574,"cv_min","E_1",100,1000
"358",0.935238095238095,0.225762711864407,"cv_min","E_1",100,1000
"359",0.919739696312364,0.184450879928715,"cv_min","E_1",100,1000
"360",0.915811088295688,0.19896930315931,"cv_min","E_1",100,1000
"361",0.908141962421712,0.210020129724894,"cv_min","E_1",100,1000
"362",0.938,0.200224719101124,"cv_min","E_1",100,1000
"363",0.915187376725838,0.183884762547828,"cv_min","E_1",100,1000
"364",0.919678714859438,0.223495058400719,"cv_min","E_1",100,1000
"365",0.907258064516129,0.195330040413112,"cv_min","E_1",100,1000
"366",0.945386064030132,0.231500339443313,"cv_min","E_1",100,1000
"367",0.926530612244898,0.21390134529148,"cv_min","E_1",100,1000
"368",0.920502092050209,0.198792486583184,"cv_min","E_1",100,1000
"369",0.918067226890756,0.19915064818954,"cv_min","E_1",100,1000
"370",0.905325443786982,0.16520369119964,"cv_min","E_1",100,1000
"371",0.906187624750499,0.206563272645538,"cv_min","E_1",100,1000
"372",0.933333333333333,0.228859060402685,"cv_min","E_1",100,1000
"373",0.9296875,0.222622803064443,"cv_min","E_1",100,1000
"374",0.928294573643411,0.217410915651782,"cv_min","E_1",100,1000
"375",0.931174089068826,0.210951526032316,"cv_min","E_1",100,1000
"376",0.934736842105263,0.189497206703911,"cv_min","E_1",100,1000
"377",0.930084745762712,0.196739615899955,"cv_min","E_1",100,1000
"378",0.917670682730924,0.203504043126685,"cv_min","E_1",100,1000
"379",0.900406504065041,0.194706146253926,"cv_min","E_1",100,1000
"380",0.893528183716075,0.194140013419817,"cv_min","E_1",100,1000
"381",0.925155925155925,0.152830610874916,"cv_min","E_1",100,1000
"382",0.94831013916501,0.218349449066787,"cv_min","E_1",100,1000
"383",0.926,0.209213483146067,"cv_min","E_1",100,1000
"384",0.922764227642276,0.200986989681472,"cv_min","E_1",100,1000
"385",0.939637826961771,0.187963170896025,"cv_min","E_1",100,1000
"386",0.934615384615385,0.20744920993228,"cv_min","E_1",100,1000
"387",0.943204868154158,0.225039264078977,"cv_min","E_1",100,1000
"388",0.931313131313131,0.207856341189675,"cv_min","E_1",100,1000
"389",0.912955465587045,0.195915619389587,"cv_min","E_1",100,1000
"390",0.909677419354839,0.209364548494983,"cv_min","E_1",100,1000
"391",0.948024948024948,0.208995300962184,"cv_min","E_1",100,1000
"392",0.905063291139241,0.189008042895442,"cv_min","E_1",100,1000
"393",0.947698744769874,0.216457960644007,"cv_min","E_1",100,1000
"394",0.922465208747515,0.21587587137396,"cv_min","E_1",100,1000
"395",0.92911877394636,0.211382113821138,"cv_min","E_1",100,1000
"396",0.930612244897959,0.217040358744395,"cv_min","E_1",100,1000
"397",0.920408163265306,0.193273542600897,"cv_min","E_1",100,1000
"398",0.919517102615694,0.227262519649674,"cv_min","E_1",100,1000
"399",0.934990439770555,0.219561779986447,"cv_min","E_1",100,1000
"400",0.927063339731286,0.213140663806728,"cv_min","E_1",100,1000
"401",0.216699801192843,0.00044974139869575,"cv1se","E_1",100,1000
"402",0.262054507337526,0.00111781801922647,"cv1se","E_1",100,1000
"403",0.260869565217391,0.000904772675865189,"cv1se","E_1",100,1000
"404",0.224609375,0.000901306894997747,"cv1se","E_1",100,1000
"405",0.319470699432892,0.00158335218276408,"cv1se","E_1",100,1000
"406",0.205128205128205,0.00135043889264011,"cv1se","E_1",100,1000
"407",0.248979591836735,0.000896860986547085,"cv1se","E_1",100,1000
"408",0.276190476190476,0.00112994350282486,"cv1se","E_1",100,1000
"409",0.197396963123644,0,"cv1se","E_1",100,1000
"410",0.246406570841889,0.000672193591754425,"cv1se","E_1",100,1000
"411",0.200417536534447,0.000894654439722657,"cv1se","E_1",100,1000
"412",0.218,0.000898876404494382,"cv1se","E_1",100,1000
"413",0.201183431952663,0.000450146297546703,"cv1se","E_1",100,1000
"414",0.327309236947791,0.000898472596585804,"cv1se","E_1",100,1000
"415",0.217741935483871,0.000449034575662326,"cv1se","E_1",100,1000
"416",0.297551789077213,0.00135777325186694,"cv1se","E_1",100,1000
"417",0.175510204081633,0,"cv1se","E_1",100,1000
"418",0.202928870292887,0.000670840787119857,"cv1se","E_1",100,1000
"419",0.201680672268908,0.000223513634331694,"cv1se","E_1",100,1000
"420",0.189349112426035,0.00112536574386676,"cv1se","E_1",100,1000
"421",0.229540918163673,0.00112384805574286,"cv1se","E_1",100,1000
"422",0.289583333333333,0.000671140939597315,"cv1se","E_1",100,1000
"423",0.30859375,0.00112663361874718,"cv1se","E_1",100,1000
"424",0.319767441860465,0.002255299954894,"cv1se","E_1",100,1000
"425",0.295546558704453,0.00134649910233393,"cv1se","E_1",100,1000
"426",0.227368421052632,0.00134078212290503,"cv1se","E_1",100,1000
"427",0.26271186440678,0.000893255917820456,"cv1se","E_1",100,1000
"428",0.281124497991968,0.00134770889487871,"cv1se","E_1",100,1000
"429",0.264227642276423,0.000897263346792284,"cv1se","E_1",100,1000
"430",0.217118997912317,0.000447327219861329,"cv1se","E_1",100,1000
"431",0.14968814968815,0.000671291116580891,"cv1se","E_1",100,1000
"432",0.224652087475149,0.000224870699347875,"cv1se","E_1",100,1000
"433",0.23,0.000898876404494382,"cv1se","E_1",100,1000
"434",0.260162601626016,0.00134589502018843,"cv1se","E_1",100,1000
"435",0.207243460764588,0.00134740624298226,"cv1se","E_1",100,1000
"436",0.290384615384615,0.00135440180586907,"cv1se","E_1",100,1000
"437",0.271805273833671,0.00134619699349338,"cv1se","E_1",100,1000
"438",0.258585858585859,0.000897867564534231,"cv1se","E_1",100,1000
"439",0.194331983805668,0.000897666068222621,"cv1se","E_1",100,1000
"440",0.217204301075269,0.00111482720178372,"cv1se","E_1",100,1000
"441",0.282744282744283,0.00156634593868874,"cv1se","E_1",100,1000
"442",0.236286919831224,0.000670241286863271,"cv1se","E_1",100,1000
"443",0.238493723849372,0.00111806797853309,"cv1se","E_1",100,1000
"444",0.272365805168986,0.001798965594783,"cv1se","E_1",100,1000
"445",0.25095785440613,0.000677506775067751,"cv1se","E_1",100,1000
"446",0.204081632653061,0.000672645739910314,"cv1se","E_1",100,1000
"447",0.240816326530612,0.000896860986547085,"cv1se","E_1",100,1000
"448",0.225352112676056,0.00067370312149113,"cv1se","E_1",100,1000
"449",0.286806883365201,0.000451773209848656,"cv1se","E_1",100,1000
"450",0.222648752399232,0.00270941521788214,"cv1se","E_1",100,1000
"451",0.819085487077535,0.0796042275691477,"rmse","E_2",100,1000
"452",0.842767295597484,0.0786943885535435,"rmse","E_2",100,1000
"453",0.848771266540643,0.109025107441755,"rmse","E_2",100,1000
"454",0.8359375,0.0957638575935106,"rmse","E_2",100,1000
"455",0.831758034026465,0.0886677222347885,"rmse","E_2",100,1000
"456",0.834319526627219,0.0990321854602746,"rmse","E_2",100,1000
"457",0.759183673469388,0.0493273542600897,"rmse","E_2",100,1000
"458",0.84,0.0989830508474576,"rmse","E_2",100,1000
"459",0.759219088937093,0.0543550902205391,"rmse","E_2",100,1000
"460",0.833675564681725,0.074837553215326,"rmse","E_2",100,1000
"461",0.795407098121086,0.0827555356743458,"rmse","E_2",100,1000
"462",0.816,0.0602247191011236,"rmse","E_2",100,1000
"463",0.800788954635108,0.0708980418636057,"rmse","E_2",100,1000
"464",0.857429718875502,0.0905211141060198,"rmse","E_2",100,1000
"465",0.786290322580645,0.078581050740907,"rmse","E_2",100,1000
"466",0.854990583804143,0.0954967187146413,"rmse","E_2",100,1000
"467",0.844897959183673,0.0834080717488789,"rmse","E_2",100,1000
"468",0.813807531380753,0.0695438282647585,"rmse","E_2",100,1000
"469",0.783613445378151,0.0567724631202503,"rmse","E_2",100,1000
"470",0.792899408284024,0.0591942381273914,"rmse","E_2",100,1000
"471",0.810379241516966,0.0876601483479434,"rmse","E_2",100,1000
"472",0.889583333333333,0.114765100671141,"rmse","E_2",100,1000
