"","TPR","FPR","MCE","method","Estimated_E","p","n"
"905",0.785714285714286,0.0965909090909091,0.105263157894737,"rmse","E_1",20,1000
"906",0.764705882352941,0.104046242774566,0.115789473684211,"rmse","E_1",20,1000
"907",0.6,0.0514285714285714,0.0789473684210526,"rmse","E_1",20,1000
"908",0.761904761904762,0.124260355029586,0.136842105263158,"rmse","E_1",20,1000
"909",0.933333333333333,0.102857142857143,0.1,"rmse","E_1",20,1000
"910",0.961538461538462,0.170731707317073,0.152631578947368,"rmse","E_1",20,1000
"911",0.75,0.0517241379310345,0.068421052631579,"rmse","E_1",20,1000
"912",0.782608695652174,0.107784431137725,0.121052631578947,"rmse","E_1",20,1000
"913",0.826086956521739,0.0359281437125748,0.0526315789473684,"rmse","E_1",20,1000
"914",0.933333333333333,0.0685714285714286,0.068421052631579,"rmse","E_1",20,1000
"915",0.9375,0.201149425287356,0.189473684210526,"rmse","E_1",20,1000
"916",0.85,0.123529411764706,0.126315789473684,"rmse","E_1",20,1000
"917",0.842105263157895,0.0701754385964912,0.0789473684210526,"rmse","E_1",20,1000
"918",0.777777777777778,0.0813953488372093,0.0947368421052632,"rmse","E_1",20,1000
"919",0.363636363636364,0.0535714285714286,0.121052631578947,"rmse","E_1",20,1000
"920",0.823529411764706,0.0346820809248555,0.0473684210526316,"rmse","E_1",20,1000
"921",0.666666666666667,0.0276243093922652,0.0421052631578947,"rmse","E_1",20,1000
"922",0.8125,0.0747126436781609,0.0842105263157895,"rmse","E_1",20,1000
"923",0.642857142857143,0.0454545454545455,0.068421052631579,"rmse","E_1",20,1000
"924",0.466666666666667,0.0685714285714286,0.105263157894737,"rmse","E_1",20,1000
"925",0.75,0.0393258426966292,0.0526315789473684,"rmse","E_1",20,1000
"926",0.833333333333333,0.11046511627907,0.115789473684211,"rmse","E_1",20,1000
"927",0.904761904761905,0.112426035502959,0.110526315789474,"rmse","E_1",20,1000
"928",0.681818181818182,0.0773809523809524,0.105263157894737,"rmse","E_1",20,1000
"929",0.684210526315789,0.0584795321637427,0.0842105263157895,"rmse","E_1",20,1000
"930",0.888888888888889,0.0465116279069767,0.0526315789473684,"rmse","E_1",20,1000
"931",0.928571428571429,0.142045454545455,0.136842105263158,"rmse","E_1",20,1000
"932",0.555555555555556,0.0331491712707182,0.0526315789473684,"rmse","E_1",20,1000
"933",0.9375,0.0747126436781609,0.0736842105263158,"rmse","E_1",20,1000
"934",0.916666666666667,0.120481927710843,0.115789473684211,"rmse","E_1",20,1000
"935",0.75,0.194117647058824,0.2,"rmse","E_1",20,1000
"936",0.958333333333333,0.198795180722892,0.178947368421053,"rmse","E_1",20,1000
"937",0.96,0.163636363636364,0.147368421052632,"rmse","E_1",20,1000
"938",0.928571428571429,0.210227272727273,0.2,"rmse","E_1",20,1000
"939",0.705882352941177,0.023121387283237,0.0473684210526316,"rmse","E_1",20,1000
"940",0.869565217391304,0.11377245508982,0.115789473684211,"rmse","E_1",20,1000
"941",0.538461538461538,0.0609756097560976,0.115789473684211,"rmse","E_1",20,1000
"942",0.75,0.050561797752809,0.0631578947368421,"rmse","E_1",20,1000
"943",0.7,0.0176470588235294,0.0473684210526316,"rmse","E_1",20,1000
"944",0.826086956521739,0.107784431137725,0.115789473684211,"rmse","E_1",20,1000
"945",0.923076923076923,0.0508474576271186,0.0526315789473684,"rmse","E_1",20,1000
"946",0.875,0.189655172413793,0.184210526315789,"rmse","E_1",20,1000
"947",0.416666666666667,0.0224719101123595,0.0578947368421053,"rmse","E_1",20,1000
"948",0.857142857142857,0.0681818181818182,0.0736842105263158,"rmse","E_1",20,1000
"949",0.375,0.0172413793103448,0.068421052631579,"rmse","E_1",20,1000
"950",0.882352941176471,0.132947976878613,0.131578947368421,"rmse","E_1",20,1000
